day,lessons
Monday,"[17,17,8,9,7,12]"
Tuesday,"[17,17,4,3,12,17,6]"
Wednesday,"[16,7,11,12,16,3,15]"
Thursday,"[15,2,17,7,9,11,3]"
Friday,"[17,2,17,3,12,7]"
