name,link
class time,
english 1,https://meet.google.com/kfe-xvnu-sxr
english 2,https://meet.google.com/jvz-qcxy-veu
algebra,https://meet.google.com/peu-spiq-gnh
geometry,https://meet.google.com/peu-spiq-gnh
cs 1,https://meet.google.com/sry-vfxt-mxw
cs 2,https://meet.google.com/xwa-uheo-jvd
geography,https://meet.google.com/pir-xhhx-crm
kaz lang,https://meet.google.com/whj-eoww-now
kaz lit,https://meet.google.com/whj-eoww-now
rus lang 1,https://meet.google.com/ycw-ymnr-tnn
rus lang 2,https://meet.google.com/bts-nigd-rgq
physics,https://meet.google.com/tdo-kjrt-cqy 
chemestry,https://meet.google.com/ffq-zsqz-yzi
biology,https://meet.google.com/zox-secc-rxc
kaz hist,https://meet.google.com/kgd-ameo-wit
world hist,https://meet.google.com/kgd-ameo-wit
,
