day,lessons
Monday,"[14,15,9,3,7,12,10]"
Tuesday,"[14,10,13,7,12,3]"
Wednesday,"[15,7,13,12,9,3,5]"
Thursday,"[14,1,4,7,13,8,16]"
Friday,"[14,1,17,3,12,16,13]"
