day,lessons
Monday,"[3,1,12,7,12,10]"
Tuesday,"[9,3,5,12,3]"
Wednesday,"[15,7,10,12,9,15,16]"
Thursday,"[2,7,7,15,8,3]"
Friday,"[16,2,17,5,4]"
